batter_name,age,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,GB,SO,GDP,BU,fly,year,salary,war,year_born,hand2,cp,tp,1B,FBP,avg,OBP,SLG,OPS,p_year,YAB,YOPS
백용환,24.0,26.0,58.0,52.0,4.0,9.0,4.0,0.0,0.0,13.0,3.0,0.0,0.0,6.0,0.0,0.0,16.0,3.0,0.0,0.0,2013,2500,-0.055,1989-03-20,우투우타,포수,포수,5.0,6.0,0.17300000000000001,0.259,0.25,0.509,2014,79.0,0.58
백용환,25.0,47.0,86.0,79.0,8.0,14.0,2.0,0.0,4.0,28.0,10.0,0.0,0.0,5.0,0.0,0.0,28.0,1.0,2.0,0.0,2014,2900,-0.441,1989-03-20,우투우타,포수,포수,8.0,5.0,0.177,0.226,0.354,0.58,2015,154.0,0.784
백용환,26.0,65.0,177.0,154.0,22.0,36.0,6.0,0.0,10.0,72.0,30.0,3.0,1.0,19.0,1.0,0.0,47.0,5.0,0.0,3.0,2015,6000,0.7829999999999999,1989-03-20,우투우타,포수,포수,20.0,20.0,0.23399999999999999,0.316,0.46799999999999997,0.784,2016,174.0,0.581
백용환,27.0,80.0,199.0,174.0,12.0,34.0,7.0,0.0,4.0,53.0,15.0,2.0,1.0,19.0,1.0,1.0,52.0,6.0,3.0,2.0,2016,6000,-0.405,1989-03-20,우투우타,포수,포수,23.0,20.0,0.195,0.276,0.305,0.581,2017,17.0,0.47600000000000003
백용환,28.0,15.0,20.0,17.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,2017,5500,-0.13,1989-03-20,우투우타,포수,포수,3.0,3.0,0.17600000000000002,0.3,0.17600000000000002,0.47600000000000003,2018,47.0,0.6910000000000001
백용환,29.0,34.0,57.0,47.0,7.0,13.0,1.0,0.0,0.0,14.0,4.0,0.0,1.0,9.0,0.0,0.0,15.0,3.0,1.0,0.0,2018,5300,0.083,1989-03-20,우투우타,포수,포수,12.0,9.0,0.27699999999999997,0.39299999999999996,0.298,0.6910000000000001,2019,47.0,0.698
신범수,20.0,19.0,26.0,25.0,0.0,4.0,2.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,2018,2900,-0.231,1998-01-25,우투좌타,포수,포수,1.0,0.0,0.16,0.154,0.32,0.474,2019,57.0,0.7120000000000001
김민식,26.0,23.0,26.0,24.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2015,3000,-0.187,1989-06-28,좌타우투,포수,포수,4.0,2.0,0.16699999999999998,0.231,0.16699999999999998,0.39799999999999996,2016,144.0,0.72
김민식,27.0,88.0,170.0,144.0,17.0,37.0,9.0,0.0,2.0,52.0,14.0,1.0,1.0,21.0,2.0,0.0,38.0,2.0,3.0,0.0,2016,3000,0.7290000000000001,1989-06-28,좌타우투,포수,포수,26.0,23.0,0.257,0.359,0.361,0.72,2017,352.0,0.5760000000000001
김민식,28.0,137.0,392.0,352.0,39.0,78.0,9.0,2.0,4.0,103.0,40.0,3.0,3.0,26.0,5.0,0.0,55.0,8.0,7.0,2.0,2017,3000,-0.447,1989-06-28,좌타우투,포수,포수,63.0,31.0,0.222,0.28300000000000003,0.293,0.5760000000000001,2018,310.0,0.685
